date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:19:01	181722/181722	---M--	200	added ('OK')	image/jpeg	etag:%222c5da-5af8b4be1e4ea%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/curs/2.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/curs/2.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index3.html)
23:19:01	138618/138618	---M--	200	added ('OK')	image/jpeg	etag:%2221d7a-5af8b4bf91a47%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/curs/4.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/curs/4.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index3.html)
23:19:04	72107/72107	---M--	200	added ('OK')	image/jpeg	etag:%22119ab-5af8b4d7ec35d%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/2.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/2.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index4.html)
23:19:08	84457/84457	---M--	200	added ('OK')	image/jpeg	etag:%22149e9-5af8b4da28f83%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/5.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/5.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index4.html)
23:19:11	40334/40334	---M--	200	added ('OK')	image/jpeg	etag:%229d8e-5af8b4da53725%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/6.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/6.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index4.html)
23:19:12	68613/68613	---M--	200	added ('OK')	image/jpeg	etag:%2210c05-5af8b4d8e4c17%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/3.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/3.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index4.html)
23:19:21	122723/122723	---M--	200	added ('OK')	image/jpeg	etag:%221df63-5af8b4d94feb4%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/4.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/4.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index4.html)
23:19:26	113058/113058	---M--	200	added ('OK')	image/jpeg	etag:%221b9a2-5af8b4732325f%22	http://innovationplans.com/idesign/avo2/avo-dark/img/team/1.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/team/1.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index4.html)
23:19:38	97884/97884	---M--	200	added ('OK')	image/jpeg	etag:%2217e5c-5af8b475f6c92%22	http://innovationplans.com/idesign/avo2/avo-dark/img/team/4.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/team/4.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index4.html)
23:19:38	161444/161444	---M--	200	added ('OK')	image/jpeg	etag:%22276a4-5af8b4750af08%22	http://innovationplans.com/idesign/avo2/avo-dark/img/team/3.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/team/3.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index4.html)
